date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,tolerance_retry,status,terminal_soc
2025-03-21,0,20749.660029355167,0.22692850000748876,0,18,0,0,144,1,0,0,1200.0
2025-03-21,6,7650.933679697618,0.14097330000367947,0,25,0,0,144,1,0,0,1200.0
2025-03-21,12,8713.487394320053,0.10162129999662284,0,33,0,0,144,1,0,0,1200.0
2025-03-21,18,7974.843842834122,0.5679130000062287,0,29,0,0,144,1,0,0,1200.0
2025-03-22,0,20233.020017715862,0.8263918000011472,0,7,0,0,144,1,0,0,1200.0
2025-03-22,6,10224.15925975956,0.36054529999091756,0,30,0,0,144,1,0,0,1200.0
2025-03-22,12,18442.014609594487,0.6208110000006855,0,41,0,0,144,1,0,0,1200.0
2025-03-22,18,30646.637518426403,0.591589000003296,0,55,0,0,144,1,0,0,1200.0
2025-03-23,0,43950.67788480399,0.3142485999997007,0,40,0,0,144,1,0,0,1200.0
2025-03-23,6,10655.850119546129,0.09578629999305122,0,39,0,0,144,1,0,0,1200.0
2025-03-23,12,20393.54506314389,0.11846840000362135,0,41,0,0,144,1,0,0,1200.0
2025-03-23,18,31871.386369113243,0.15885249999701045,0,33,0,0,144,1,0,0,1200.0
2025-03-24,0,45853.0176801009,0.14028329998836853,0,32,0,0,144,1,0,0,1200.0
2025-03-24,6,10757.232880209724,0.2544992000039201,0,41,0,0,144,1,0,0,1200.0
2025-03-24,12,21033.802840354812,0.1500975999952061,0,42,0,0,144,1,0,0,1200.0
2025-03-24,18,28535.080070890446,0.5034616000048118,0,59,0,0,144,1,0,0,1200.0
2025-03-25,0,50279.509715280976,1.0868302000017138,0,29,0,0,144,1,0,0,1200.0
2025-03-25,6,7599.5151328079455,0.4764017999987118,0,27,0,0,144,1,0,0,1200.0
2025-03-25,12,14287.878372267847,0.17943260000902228,0,42,0,0,144,1,0,0,1200.0
2025-03-25,18,20299.167819379334,0.21897390000231098,0,53,0,0,144,1,0,0,1200.0
2025-03-26,0,42640.14013879222,0.307662999999593,0,36,0,0,144,1,0,0,1200.0
2025-03-26,6,11706.766194017315,0.16953930001182016,0,35,0,0,144,1,0,0,1200.0
2025-03-26,12,14392.51301052605,0.7241224000026705,0,39,0,0,144,1,0,0,1200.0
2025-03-26,18,23983.79822752106,0.29068599999300204,0,56,0,0,144,1,0,0,1200.0
2025-03-27,0,45430.6132949901,0.5740097999951104,0,30,0,0,144,1,0,0,1200.0
2025-03-27,6,9386.664291697192,0.07657389999076258,0,38,0,0,144,1,0,0,1200.0
2025-03-27,12,9676.269889745034,0.4228911000100197,0,34,0,0,144,1,0,0,1200.0
2025-03-27,18,12056.553622524752,0.18189510000229347,0,29,0,0,144,1,0,0,1200.0
2025-03-28,0,20111.098543547014,0.6111341000068933,0,9,0,0,144,1,0,0,1200.0
2025-03-28,6,7955.381100640702,0.22795489999407437,0,31,0,0,144,1,0,0,1200.0
2025-03-28,12,8909.723403239668,0.20680569999967702,0,33,0,0,144,1,0,0,1200.0
2025-03-28,18,9033.55708354507,0.1770923000003677,0,33,0,0,144,1,0,0,1200.0
2025-03-29,0,18088.891194428932,0.8550135999976192,0,6,0,0,144,1,0,0,1200.0
2025-03-29,6,11048.490463223256,0.5159676999901421,0,25,0,0,144,1,0,0,1200.0
2025-03-29,12,14735.907200375867,0.3144499000045471,0,41,0,0,144,1,0,0,1200.0
2025-03-29,18,21121.97041528315,0.2495712999952957,0,66,0,0,144,1,0,0,1200.0
2025-03-30,0,41181.06964576902,0.08257149999553803,0,36,0,0,144,1,0,0,1200.0
2025-03-30,6,9704.70610318421,0.3405559999955585,0,36,0,0,144,1,0,0,1200.0
2025-03-30,12,25963.71437685614,0.19734310000785626,0,38,0,0,144,1,0,0,1200.0
2025-03-30,18,28098.949248617748,0.6284570999996504,0,53,0,0,144,1,0,0,1200.0
2025-03-31,0,38648.753622038115,0.7970609999902081,0,34,0,0,144,1,0,0,1200.0
2025-03-31,6,23215.46480610338,0.07141230000706855,0,152,0,0,144,1,0,0,1200.0
2025-03-31,12,14237.846197853412,0.8063065000023926,0,74,0,0,144,1,0,0,1200.0
2025-03-31,18,20826.796161164566,0.7981969000102254,0,66,0,0,144,1,0,0,1200.0
2025-04-01,0,46507.779978908926,0.49869599999510683,0,29,0,0,144,1,0,0,1200.0
