date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,status,terminal_soc,tolerance_retry
2025-03-17,6,8062.900519646227,0.7648509999999078,0,27,0,0,144,1,0,1200.0,
2025-03-17,12,23485.335864096323,0.16155250000883825,0,58,0,0,144,1,0,1200.0,
2025-03-17,18,21444.77911695472,0.2654088999988744,0,62,0,0,144,1,0,1200.0,
2025-03-18,0,50688.447044914996,0.4906423999927938,0,29,0,0,144,1,0,1200.0,
2025-03-18,6,9150.548836809903,0.46258120000129566,0,37,0,0,144,1,0,1200.0,
2025-03-18,12,16331.278503352185,0.5253075000073295,0,38,0,0,144,1,0,1200.0,
2025-03-18,18,20331.918324004757,0.16743899999710266,0,59,0,0,144,1,0,1200.0,
2025-03-19,0,41993.90606947245,0.5486015999922529,0,36,0,0,144,1,0,1200.0,
2025-03-19,6,14356.970946681957,0.43397230000118725,0,53,0,0,144,1,0,1200.0,
2025-03-19,12,16063.604296214937,0.2500434000103269,0,41,0,0,144,1,0,1200.0,
2025-03-19,18,22657.53520630294,0.21401779999723658,0,63,0,0,144,1,0,1200.0,
2025-03-20,0,47759.14637947129,0.3101984000095399,0,35,0,0,144,1,0,1200.0,
2025-03-20,6,5501.280771746958,0.12423879999550991,0,25,0,0,144,1,0,1200.0,
2025-03-20,12,10909.06365868998,0.20072179999260698,0,48,0,0,144,1,0,1200.0,
2025-03-20,18,10382.502823356956,0.21958140000060666,0,32,0,0,144,1,0,1200.0,
2025-03-21,0,20793.95989154743,0.25701820000540465,0,18,0,0,144,1,0,1200.0,
2025-03-21,6,7374.004440847876,0.14177370000106748,0,22,0,0,144,1,0,1200.0,
2025-03-21,12,9793.705184475679,0.10303759999806061,0,33,0,0,144,1,0,1200.0,
2025-03-21,18,9370.831640734894,0.09029759999248199,0,28,0,0,144,1,0,1200.0,
2025-03-22,0,20113.600311756778,0.2674740000074962,0,6,0,0,144,1,0,1200.0,
2025-03-22,6,10273.886205204843,0.3970467000035569,0,26,0,0,144,1,0,1200.0,
2025-03-22,12,19125.981131724748,0.1414288999949349,0,48,0,0,144,1,0,1200.0,
2025-03-22,18,31399.290422966504,0.16055369999958202,0,53,0,0,144,1,0,1200.0,
2025-03-23,0,43710.653904804734,0.1811691999901086,0,39,0,0,144,1,0,1200.0,
2025-03-23,6,10290.101053790799,0.20018159999744967,0,42,0,0,144,1,0,1200.0,
2025-03-23,12,20242.829520450225,0.09857439999177586,0,41,0,0,144,1,0,1200.0,
2025-03-23,18,30229.642310571977,0.18430439999792725,0,52,0,0,144,1,0,1200.0,
2025-03-24,0,45906.00691014103,0.15240489999996498,0,32,0,0,144,1,0,1200.0,
2025-03-24,6,10335.372880064118,0.3836622999951942,0,31,0,0,144,1,0,1200.0,
2025-03-24,12,20516.510198235825,0.08491990000766236,0,45,0,0,144,1,0,1200.0,
2025-03-24,18,28254.193373432117,0.3252723000041442,0,57,0,0,144,1,0,1200.0,
2025-03-25,0,50287.66002070016,0.7528574000025401,0,29,0,0,144,1,0,1200.0,
2025-03-25,6,6595.735901841393,1.434470300009707,0,26,0,0,144,1,0,1200.0,
2025-03-25,12,15184.727302980642,0.14007629999832716,0,47,0,0,144,1,0,1200.0,
2025-03-25,18,19678.595120404316,0.1169270999962464,0,61,0,0,144,1,0,1200.0,
2025-03-26,0,42701.488683146126,0.31768940000620205,0,36,0,0,144,1,0,1200.0,
2025-03-26,6,11256.25579283284,0.7409233000071254,0,37,0,0,144,1,0,1200.0,
2025-03-26,12,14658.535376473983,0.35032819998741616,0,43,0,0,144,1,0,1200.0,
2025-03-26,18,23407.11567044487,0.7035670000041137,0,66,0,0,144,1,0,1200.0,
2025-03-27,0,45505.05945663696,0.6042213999899104,0,30,0,0,144,1,0,1200.0,
2025-03-27,6,9086.643363246843,0.2625351999886334,0,30,0,0,144,1,0,1200.0,
2025-03-27,12,9048.324687584673,0.7006336999911582,0,37,0,0,144,1,0,1200.0,
2025-03-27,18,11598.181409055916,0.9372060999885434,0,35,0,0,144,1,0,1200.0,
2025-03-28,0,20147.336952897895,0.43246389999694657,0,9,0,0,144,1,0,1200.0,
2025-03-28,6,8193.677306438965,0.08895410000695847,0,35,0,0,144,1,0,1200.0,
2025-03-28,12,9800.866456317392,0.10361209999246057,0,38,0,0,144,1,0,1200.0,
2025-03-28,18,10458.69508066888,1.2483132000052137,0,33,0,0,144,1,0,1200.0,
2025-03-29,0,17992.05205931127,0.3649388999911025,0,5,0,0,144,1,0,1200.0,
2025-03-29,6,11127.536852728703,0.16835330000321846,0,21,0,0,144,1,0,1200.0,
2025-03-29,12,15259.98042977551,0.1755628999962937,0,39,0,0,144,1,0,1200.0,
2025-03-29,18,21926.778112157954,0.21689809999952558,0,65,0,0,144,1,0,1200.0,
2025-03-30,0,40974.0831917077,0.23929180001141503,0,37,0,0,144,1,0,1200.0,
2025-03-30,6,9311.26044593301,0.317780400000629,0,32,0,0,144,1,0,1200.0,
2025-03-30,12,25542.542135798954,0.23068459999922197,0,41,0,0,144,1,0,1200.0,
2025-03-30,18,27404.589028934617,0.25331260000530165,0,64,0,0,144,1,0,1200.0,
2025-03-31,0,38676.77026393004,0.8432713999936823,0,34,0,0,144,1,0,1200.0,
2025-03-31,6,18870.79143181517,0.5871832999982871,0,61,0,0,144,1,0,1200.0,
2025-03-31,12,12250.849816320722,0.2276216000027489,0,38,0,0,144,1,0,1200.0,
2025-03-31,18,20551.092371449522,0.5953475999995135,0,66,0,0,144,1,0,1200.0,
2025-04-01,0,46507.4163484732,0.5739590000011958,0,29,0,0,144,1,0,1200.0,
2025-04-01,6,10374.597434191623,0.18499350000638515,0,48,0,0,144,1,0,1200.0,
2025-04-01,12,15789.349350053002,0.20941409999795724,0,53,0,0,144,1,0,1200.0,
2025-04-01,18,38910.93149373438,0.5182844000082696,0,54,0,0,144,1,0,1200.0,
2025-04-02,0,44528.92070645875,0.0876680000073975,0,38,0,0,144,1,0,1200.0,
2025-04-02,6,11921.963825922729,0.3797504999965895,0,31,0,0,144,1,0,1200.0,
2025-04-02,12,14617.356990546341,0.1305934999982128,0,41,0,0,144,1,0,1200.0,
2025-04-02,18,21589.293615960138,0.24390990000392776,0,59,0,0,144,1,0,1200.0,
2025-04-03,0,45774.67658957658,0.12629549999837764,0,36,0,0,144,1,0,1200.0,
2025-04-03,6,6539.339308416215,0.5917824000061955,0,29,0,0,144,1,0,1200.0,
2025-04-03,12,9113.729611124321,0.5086210000008577,0,38,0,0,144,1,0,1200.0,
2025-04-03,18,9555.56322804871,0.26576270000077784,0,28,0,0,144,1,0,1200.0,
2025-04-04,0,18457.7043599463,0.06559870000637602,0,6,0,0,144,1,0,1200.0,
2025-04-04,6,7713.173776536592,0.43291669999598525,0,20,0,0,144,1,0,1200.0,
2025-04-04,12,11310.126389305424,0.5367188000091119,0,34,0,0,144,1,0,1200.0,
2025-04-04,18,10521.755481680488,0.4682660999969812,0,46,0,0,144,1,0,1200.0,
2025-04-05,0,17354.73039013315,0.27166859999124426,0,4,0,0,144,1,0,1200.0,
2025-04-05,6,10644.77322791181,0.7585443999996642,0,29,0,0,144,1,0,1200.0,
2025-04-05,12,28590.287187376056,0.1874303999939002,0,42,0,0,144,1,0,1200.0,
2025-04-05,18,23313.488807027086,0.26175119999970775,0,64,0,0,144,1,0,1200.0,
2025-04-06,0,40440.0145907328,0.14059070000075735,0,39,0,0,144,1,0,1200.0,
2025-04-06,6,10215.438849699562,0.4901945000019623,0,32,0,0,144,1,0,1200.0,
2025-04-06,12,16051.959723359594,0.16557100000500213,0,40,0,0,144,1,0,1200.0,
2025-04-06,18,20762.330900440116,0.25698439999541733,0,59,0,0,144,1,0,1200.0,
2025-04-07,0,37020.51888559637,0.1731123000063235,0,36,0,0,144,1,0,1200.0,
2025-04-07,6,13072.819468954955,2.7044576999905985,0,29,0,0,144,1,0,1200.0,
2025-04-07,12,20852.75297567259,0.2137034999905154,0,56,0,0,144,1,0,1200.0,
2025-04-07,18,21415.628607361705,0.12461719999555498,0,56,0,0,144,1,0,1200.0,
2025-04-08,0,43758.27744196092,0.16931660000409465,0,38,0,0,144,1,0,1200.0,
2025-04-08,6,8856.782817898958,0.8690372999990359,0,25,0,0,144,1,0,1200.0,
2025-04-08,12,17431.379186873783,0.2623454999993555,0,45,0,0,144,1,0,1200.0,
