date,cost_plan,cost_adjust_up,cost_adjust_down,cost_emergency,cost_total,energy_g0,energy_final_commitment,energy_up,energy_down,adjustment_churn,energy_emergency,energy_waste,charge_energy,discharge_energy,soc_0000,soc_0600,soc_1200,soc_1800,soc_2400,terminal_proxy_soc_0000,terminal_proxy_soc_0600,terminal_proxy_soc_1200,terminal_proxy_soc_1800
2025-02-19,48791.11326690368,851.0518176952601,-173.98465077692987,3456.808517372442,52924.98895119446,78825.3588710314,78908.75878152443,784.9029077290952,701.5029972360621,309.70878235680743,925.200781523691,2835.425256936602,22350.40714076008,18231.20021798188,1467.9383483423167,9863.25452867941,7085.178561864354,10749.281640784988,1326.4156439354065,1200.0,1200.0,1200.0,1200.0
2025-02-20,50423.724404999055,2132.3150247259077,-1571.5924594716564,2126.46113567451,53110.90810592782,81955.48907771285,78784.81050129219,1928.9743830061386,5099.652959426795,2672.059737093412,483.494120436574,4090.9439062798924,20950.660710072254,16766.43372795671,1326.4156439354065,9881.20660326911,7756.889967733057,10744.601299195829,1552.639474159645,1200.0,1200.0,1200.0,1200.0
2025-02-21,23827.350701023446,631.4338341154273,-474.0545345101227,0.0,23984.73000062875,44695.9890184935,43371.18413915561,809.9356143938613,2134.7404937317506,1094.439888518638,0.0,13479.86657681012,17491.188526653896,13160.132997641742,1552.639474159645,9644.183703703702,8102.73541150999,10541.287132249916,2672.3391507684346,1200.0,1200.0,1200.0,1200.0
2025-02-22,26016.805776198526,308.03034972030406,-750.1124268759052,40.52677932438936,25615.250478367314,47911.35734688794,45140.6070077623,247.2118343136714,3017.9621734393054,115.90451467254115,18.94118032347535,14375.27490437458,15296.807095854005,12357.29669547614,2672.3391507684346,10210.772222222222,9494.875331952364,10692.918690211696,2709.1358753968834,1200.0,1200.0,1200.0,1200.0
2025-02-23,50637.415575531355,60.26892368818362,-1014.2819324751821,2998.8988811710533,52682.30144791541,81472.56343954537,78398.41336755999,56.74875334824151,3130.8988253336315,24.60644933778849,732.5404430213094,4864.032818348673,20349.889398676845,17614.822089777568,2709.1358753968834,9898.83362407206,7214.637873780333,10800.0,1452.0117900087462,1200.0,1200.0,1200.0,1200.0
2025-02-24,48757.069089564495,1323.2184877812267,-1039.249683157549,1302.2348806284003,50343.27277481657,78563.07811254168,77118.32064774088,1923.358669394429,3368.116134195233,1270.9554761234303,260.17770227584583,5118.4598255868095,20834.16718710935,16777.162279346103,1452.0117900087462,9925.303491187777,7996.2200440274455,10800.0,1561.4708369114933,1200.0,1200.0,1200.0,1200.0
2025-02-25,49949.65997829062,512.3568943908367,-2441.6185611901146,1717.393131665351,49737.79144315669,80958.95334866227,73710.36310700382,383.4104679854867,7632.000709643926,726.5179568045733,415.46493970786986,4400.651055547001,20708.968534353553,16805.1147765222,1561.4708369114933,9858.40905558954,7879.3416270831885,10800.0,1527.192766138362,1200.0,1200.0,1200.0,1200.0
2025-02-26,45441.36472001012,2222.1257796639575,-107.63882633708917,1777.402224911616,49333.2538982486,74580.17361086284,76125.09674219736,1983.3707741643436,438.44764282982226,111.74623682410174,377.5886087343182,3757.637496886766,20994.740674593475,17064.540853881896,1527.192766138362,9897.15411798972,7246.663359889539,10752.242894047982,1461.8584245148245,1200.0,1200.0,1200.0,1200.0
2025-02-27,46869.99953925504,326.6329306840553,-443.0208945369063,1724.1807366374605,48477.79231203965,76453.057521523,74933.26319365762,278.12632446976977,1797.9206523351388,6.366462912410498e-12,363.23311509543237,4197.609449697759,22295.206119538736,18152.90346048343,1461.8584245148245,9902.439456896747,6797.282037405811,10791.079442448314,1357.6511982292138,1200.0,1200.0,1200.0,1200.0
2025-02-28,22169.147669878,415.59366676476446,-259.0376506705526,9.728794354139307,22335.43248032635,40681.047189381905,40231.795850220115,508.98584187988666,958.2371810416828,582.2367299990133,4.400178360081098,12811.512277875712,16772.677730098752,12640.587529394274,1357.6511982292138,7285.603134854498,7207.143668847425,10400.660363398534,2407.963900435572,1200.0,1200.0,1200.0,1200.0
