date,max_real_balance_residual_kwh,max_real_state_residual_kwh,max_plan_state_residual_kwh,max_scenario_balance_residual_kwh,real_E_min_kwh,real_E_max_kwh,plan_E_min_kwh,plan_E_max_kwh,plan_terminal_gap_kwh,simultaneous_plan_periods,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-07-25,0.0,8.526512829121202e-13,1.3460521586239338e-10,3.7481129311345285e-13,2763.6316398448494,10800.0,1199.9999999999995,10800.0,0.0,0,0,0,0,833.3333333333333,714.62075
2025-07-26,0.0,8.668621376273222e-13,7.921698852442205e-10,2.966360490574971e-11,2203.5942777777805,10800.0,1199.9999999991708,10800.0,0.0,0,0,0,0,833.3333333333333,730.4740333333332
2025-07-27,2.2737367544323206e-13,9.094947017729282e-13,3.724721864273306e-09,1.1479972528150029e-10,1200.0,10651.670715676017,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-07-28,2.2737367544323206e-13,9.094947017729282e-13,2.1032064978498966e-12,4.547473508864641e-13,1375.9170126894705,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-07-29,0.0,9.094947017729282e-13,2.1032064978498966e-12,4.547473508864641e-13,1639.0320788219628,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-07-30,1.1368683772161603e-13,9.094947017729282e-13,2.3874235921539366e-12,3.979039320256561e-13,2151.620036515492,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,788.5725167750943
2025-07-31,2.2737367544323206e-13,7.389644451905042e-13,2.2737367544323206e-12,4.547473508864641e-13,1266.28099232843,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-01,0.0,9.094947017729282e-13,4.177991286269389e-12,2.8421709430404007e-13,2279.528013440776,10800.0,1199.9999999999995,10800.0,0.0,0,0,0,0,833.3333333333333,725.0833333333333
2025-08-02,5.684341886080802e-14,7.958078640513122e-13,2.9558577807620168e-12,3.979039320256561e-13,2676.190185803088,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,720.14
2025-08-03,1.1368683772161603e-13,9.094947017729282e-13,1.8189894035458565e-12,4.547473508864641e-13,1307.79962800602,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-04,0.0,7.958078640513122e-13,1.0561507224338129e-10,4.547473508864641e-13,1706.2129538547097,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-05,0.0,9.094947017729282e-13,1.5205614545266144e-12,4.547473508864641e-13,1672.8553801117662,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-06,2.2737367544323206e-13,9.094947017729282e-13,1.432454155292362e-11,2.114575181622058e-11,1729.4798689408262,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-07,0.0,9.094947017729282e-13,1.9610979506978765e-12,5.115907697472721e-13,1518.0238251657752,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-08,0.0,8.526512829121202e-13,4.001776687800884e-11,1.9895196601282805e-12,2053.2552145674035,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,706.2725166666665
2025-08-09,0.0,9.094947017729282e-13,1.4495071809506044e-12,3.410605131648481e-13,2146.6711036256097,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,700.3216666666665
2025-08-10,2.2737367544323206e-13,9.094947017729282e-13,1.8189894035458565e-12,1.3642420526593924e-12,1465.1338212191115,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-11,0.0,9.094947017729282e-13,2.5934809855243657e-12,5.115907697472721e-13,1655.5020771686768,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-12,1.1368683772161603e-13,9.094947017729282e-13,1.5489831639570184e-12,4.547473508864641e-13,2386.340548742057,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,809.7978032164203
2025-08-13,1.1368683772161603e-13,7.958078640513122e-13,1.7337242752546445e-12,5.684341886080801e-13,1592.2060249674644,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-14,2.2737367544323206e-13,9.094947017729282e-13,2.3305801732931286e-12,3.410605131648481e-13,1200.0,10772.314159994141,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-15,0.0,6.821210263296962e-13,4.638422979041934e-11,3.126388037344441e-13,2553.7628278740667,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,707.0260333333333
2025-08-16,5.684341886080802e-14,7.958078640513122e-13,1.4779288903810084e-12,3.410605131648481e-13,1952.354387976235,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,724.9346999999999
2025-08-17,2.2737367544323206e-13,6.821210263296962e-13,3.9028691389830783e-10,5.115907697472721e-13,1319.101746860935,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-18,2.2737367544323206e-13,4.547473508864641e-13,2.0463630789890885e-12,4.547473508864641e-13,1509.7819048905515,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-19,0.0,9.094947017729282e-13,7.548806024715304e-11,9.549694368615746e-12,1486.9466704201723,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-20,2.2737367544323206e-13,9.094947017729282e-13,4.1509338188916445e-09,3.694822225952521e-13,1200.0,10735.742381344824,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-21,0.0,7.958078640513122e-13,1.1368683772161603e-12,3.979039320256561e-13,1547.703209017437,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-22,5.684341886080802e-14,9.094947017729282e-13,1.1874945471390674e-12,2.8421709430404007e-13,2202.3144831676523,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,751.1733333333333
2025-08-23,0.0,7.958078640513122e-13,4.774847184307873e-12,3.979039320256561e-13,2510.3243196944677,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,698.8283333333334
2025-08-24,2.2737367544323206e-13,9.094947017729282e-13,1.5205614545266144e-12,3.979039320256561e-13,1582.189138872255,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-25,2.2737367544323206e-13,7.958078640513122e-13,1.5916157281026244e-12,4.547473508864641e-13,1591.5225798038798,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-26,2.2737367544323206e-13,9.094947017729282e-13,1.8189894035458565e-12,5.154987547939527e-12,1457.0078001313104,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-27,1.1368683772161603e-13,6.821210263296962e-13,1.8189894035458565e-12,4.547473508864641e-13,1501.5893644412465,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-28,0.0,6.821210263296962e-13,2.3874235921539366e-12,1.2846612662542611e-11,1565.3752241659145,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-08-29,0.0,7.958078640513122e-13,9.094947017729282e-13,2.646771690706373e-13,2686.203252597353,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,714.5885377411234
2025-08-30,0.0,7.958078640513122e-13,1.5347723092418164e-12,2.2737367544323206e-13,2059.1068401165817,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,703.5511333333334
2025-08-31,2.2737367544323206e-13,8.597567102697212e-13,2.0747847884194925e-12,4.547473508864641e-13,1229.3455026482682,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-09-01,1.1368683772161603e-13,9.094947017729282e-13,2.0747847884194925e-12,1.6537882174816332e-12,2876.742180058075,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,744.1015516889676
2025-09-02,0.0,7.958078640513122e-13,2.1600499167107046e-12,4.547473508864641e-13,2353.6443992859026,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,788.34905968168
2025-09-03,2.2737367544323206e-13,9.094947017729282e-13,1.3073986337985843e-12,4.547473508864641e-13,2215.142705256155,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,792.5766088788044
2025-09-04,1.1368683772161603e-13,9.094947017729282e-13,1.8332002582610585e-12,1.3642420526593924e-12,1859.7198783265117,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-09-05,0.0,9.094947017729282e-13,1.8189894035458565e-12,2.2737367544323206e-13,3092.365262959293,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,588.7583333333333
2025-09-06,0.0,8.810729923425242e-13,1.7337242752546445e-12,3.410605131648481e-13,2689.438394738339,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,588.4176
2025-09-07,1.1368683772161603e-13,9.094947017729282e-13,6.539266905747354e-10,4.440892098500626e-12,1546.8621447245337,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,813.1910921294764
2025-09-08,0.0,9.094947017729282e-13,1.8189894035458565e-12,2.8421709430404007e-13,1200.0,10732.99978865339,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,806.1080166666666
