date,signal,mae_kw,rmse_kw,nmae,weights,training_cutoff
2025-07-31,pv,133.70958587614885,219.5609830464815,0.0511575982184673,"{""lag1"": 0.24233100687091896, ""mean7"": 0.3174844585149212, ""lag7"": 0.22747189913381277, ""gbdt"": 0.2127126354803471}",2025-07-30
2025-08-01,load,429.1180407115791,478.05764370681743,0.1110752474688623,"{""lag1"": 0.12948031368284652, ""mean7"": 0.1155102812924279, ""lag7"": 0.3460142143461296, ""gbdt"": 0.40899519067859597}",2025-07-31
2025-08-01,pv,349.27697564121445,546.4941285388768,0.1172922127086375,"{""lag1"": 0.24465560995908991, ""mean7"": 0.3169850072363825, ""lag7"": 0.2262731844727899, ""gbdt"": 0.21208619833173759}",2025-07-31
2025-08-02,load,255.17812571156588,306.2763583167373,0.0668864668998884,"{""lag1"": 0.12501959186263992, ""mean7"": 0.10940937343578962, ""lag7"": 0.3587681440515585, ""gbdt"": 0.4068028906500119}",2025-08-01
2025-08-02,pv,223.01477047535647,416.291673305332,0.0757745859036564,"{""lag1"": 0.24219290120096434, ""mean7"": 0.3157223945163685, ""lag7"": 0.23038898849620532, ""gbdt"": 0.21169571578646187}",2025-08-01
2025-08-03,load,353.13726521721173,407.3860513093292,0.0613873804648496,"{""lag1"": 0.12178007284501027, ""mean7"": 0.10503657587495524, ""lag7"": 0.3754833143598818, ""gbdt"": 0.3977000369201527}",2025-08-02
2025-08-03,pv,382.5895872395054,611.5352993647595,0.1220657158184272,"{""lag1"": 0.24257402041934295, ""mean7"": 0.3134694053414026, ""lag7"": 0.23297676156870833, ""gbdt"": 0.2109798126705461}",2025-08-02
2025-08-04,load,185.7099929211639,227.24494487722524,0.0322245096860476,"{""lag1"": 0.11714384863959793, ""mean7"": 0.1020845477433313, ""lag7"": 0.3916655195643684, ""gbdt"": 0.3891060840527024}",2025-08-03
2025-08-04,pv,233.82633744138144,385.50271979170026,0.0769836110659766,"{""lag1"": 0.24957942637825706, ""mean7"": 0.3072819578061667, ""lag7"": 0.232453227866769, ""gbdt"": 0.21068538794880723}",2025-08-03
2025-08-05,load,159.8131825627377,202.49241450274,0.0281075671934294,"{""lag1"": 0.11311673348596922, ""mean7"": 0.09880375153219757, ""lag7"": 0.4114793429727523, ""gbdt"": 0.37660017200908086}",2025-08-04
2025-08-05,pv,170.1664685450294,273.5543148519322,0.0572740653427446,"{""lag1"": 0.25490116922387457, ""mean7"": 0.3021081314154578, ""lag7"": 0.23031660671956572, ""gbdt"": 0.2126740926411019}",2025-08-04
2025-08-06,load,176.18031613212557,217.90547513991987,0.0309277982950812,"{""lag1"": 0.11218673542861361, ""mean7"": 0.09850649498025316, ""lag7"": 0.4073440359086967, ""gbdt"": 0.3819627336824365}",2025-08-05
2025-08-06,pv,240.64887581634483,376.3060366054128,0.0841899542572621,"{""lag1"": 0.2587315653316913, ""mean7"": 0.3024181691623995, ""lag7"": 0.2241374320008043, ""gbdt"": 0.21471283350510484}",2025-08-05
2025-08-07,load,173.89025842657193,222.28373502966443,0.0304957485875918,"{""lag1"": 0.1121511758653311, ""mean7"": 0.09852041036402837, ""lag7"": 0.4057124002463665, ""gbdt"": 0.383616013524274}",2025-08-06
2025-08-07,pv,256.5199465431669,441.4064414440171,0.0838040654154822,"{""lag1"": 0.26121099541927206, ""mean7"": 0.3021302448257721, ""lag7"": 0.22157301852945777, ""gbdt"": 0.215085741225498}",2025-08-06
2025-08-08,load,443.8061502957466,493.48748249489375,0.1174307600449102,"{""lag1"": 0.11145393396344233, ""mean7"": 0.09808293019770857, ""lag7"": 0.4049657705589821, ""gbdt"": 0.385497365279867}",2025-08-07
2025-08-08,pv,211.78155401855392,338.70350593121674,0.0678351784767637,"{""lag1"": 0.26204652290583824, ""mean7"": 0.30381876211331543, ""lag7"": 0.21851258209725152, ""gbdt"": 0.21562213288359472}",2025-08-07
2025-08-09,load,234.756105195288,275.0392883054709,0.0623910017493461,"{""lag1"": 0.10968841648197027, ""mean7"": 0.0965227897254687, ""lag7"": 0.39790734842412445, ""gbdt"": 0.39588144536843656}",2025-08-08
2025-08-09,pv,161.0066872054182,262.0780678961066,0.0541336157213886,"{""lag1"": 0.26538548033705595, ""mean7"": 0.3039838370924242, ""lag7"": 0.21802134022353636, ""gbdt"": 0.21260934234698337}",2025-08-08
2025-08-10,load,278.4898668742497,354.3250674726805,0.0489525398979867,"{""lag1"": 0.10936284317491533, ""mean7"": 0.09609151747567804, ""lag7"": 0.39722870056471266, ""gbdt"": 0.397316938784694}",2025-08-09
2025-08-10,pv,175.82400427767053,299.7682277417825,0.0592408702716861,"{""lag1"": 0.2659786861259876, ""mean7"": 0.3028309479649828, ""lag7"": 0.21796412413301916, ""gbdt"": 0.21322624177601054}",2025-08-09
2025-08-11,load,151.7107704806792,194.60248154723865,0.0266896208703608,"{""lag1"": 0.10884662148548009, ""mean7"": 0.09589468027606222, ""lag7"": 0.39645530677864865, ""gbdt"": 0.39880339145980903}",2025-08-10
2025-08-11,pv,155.29830360229164,253.93091480384464,0.0518662244928952,"{""lag1"": 0.2661063979625744, ""mean7"": 0.30124454770078324, ""lag7"": 0.2185028590657998, ""gbdt"": 0.21414619527084264}",2025-08-10
2025-08-12,load,156.9744608150258,196.16775538318012,0.0275721115604239,"{""lag1"": 0.10864030814367837, ""mean7"": 0.09584349408549826, ""lag7"": 0.39489240580272783, ""gbdt"": 0.4006237919680955}",2025-08-11
2025-08-12,pv,201.47383381310289,309.7187546678996,0.0702029456458353,"{""lag1"": 0.26729873798731935, ""mean7"": 0.3017504887737808, ""lag7"": 0.21753207982442638, ""gbdt"": 0.21341869341447342}",2025-08-11
2025-08-13,load,179.21844303811764,215.8311701176533,0.0314998588162362,"{""lag1"": 0.10794615451955497, ""mean7"": 0.09506395483840914, ""lag7"": 0.3959113525998478, ""gbdt"": 0.4010785380421882}",2025-08-12
2025-08-13,pv,150.65221918219777,258.4358581261083,0.0513390084763087,"{""lag1"": 0.2649393378815122, ""mean7"": 0.3016187215697336, ""lag7"": 0.22053051938990512, ""gbdt"": 0.21291142115884903}",2025-08-12
2025-08-14,load,188.1177247278267,228.2714483338052,0.0332128616009181,"{""lag1"": 0.10761430984353147, ""mean7"": 0.09466962773511217, ""lag7"": 0.39506338230413257, ""gbdt"": 0.40265268011722377}",2025-08-13
2025-08-14,pv,171.78643070969778,259.5114265337696,0.0588899901799161,"{""lag1"": 0.26448482416984065, ""mean7"": 0.30203949867754754, ""lag7"": 0.21874353871893168, ""gbdt"": 0.21473213843368008}",2025-08-13
2025-08-15,load,392.9088063751361,468.1871501537047,0.1048128812279087,"{""lag1"": 0.10759157790021248, ""mean7"": 0.09446454292769679, ""lag7"": 0.3946082486508427, ""gbdt"": 0.40333563052124805}",2025-08-14
2025-08-15,pv,143.0343754643815,233.87337650912053,0.0471487942313338,"{""lag1"": 0.2656310211742829, ""mean7"": 0.30221572438716815, ""lag7"": 0.2162683650385389, ""gbdt"": 0.21588488940001016}",2025-08-14
2025-08-16,load,202.05858884736972,246.8230551143036,0.0537726357963194,"{""lag1"": 0.1074883673099273, ""mean7"": 0.09443417576573569, ""lag7"": 0.3929114765810926, ""gbdt"": 0.40516598034324436}",2025-08-15
2025-08-16,pv,166.2203401186399,301.6544811065454,0.0544581121744471,"{""lag1"": 0.2666558908957282, ""mean7"": 0.3048186843659506, ""lag7"": 0.21561999912942215, ""gbdt"": 0.21290542560889897}",2025-08-15
2025-08-17,load,276.4168106919565,339.8166621227061,0.0490067722101662,"{""lag1"": 0.1071202726498769, ""mean7"": 0.09412703597772615, ""lag7"": 0.3926248265354731, ""gbdt"": 0.4061278648369239}",2025-08-16
2025-08-17,pv,177.79898156051618,292.3870381344973,0.0590991071796572,"{""lag1"": 0.26924990129873977, ""mean7"": 0.30370452075143595, ""lag7"": 0.21496889248893997, ""gbdt"": 0.2120766854608843}",2025-08-16
2025-08-18,load,176.4182566965386,227.5717414391028,0.0311991209911613,"{""lag1"": 0.10653789870415807, ""mean7"": 0.09373583936337608, ""lag7"": 0.3920689562869236, ""gbdt"": 0.4076573056455422}",2025-08-17
2025-08-18,pv,155.2627437455502,267.7299612686893,0.052250585589259,"{""lag1"": 0.26772745218594074, ""mean7"": 0.3035172360469816, ""lag7"": 0.21772911009543555, ""gbdt"": 0.21102620167164207}",2025-08-17
2025-08-19,load,154.92795664333127,199.33980402298383,0.0274685861478495,"{""lag1"": 0.10642286903113365, ""mean7"": 0.09346730504579272, ""lag7"": 0.3930713189260347, ""gbdt"": 0.407038506997039}",2025-08-18
2025-08-19,pv,137.65057162911003,220.4768461576579,0.0464991056229001,"{""lag1"": 0.26818732993240596, ""mean7"": 0.3034311703464152, ""lag7"": 0.21890261376122588, ""gbdt"": 0.20947888595995298}",2025-08-18
2025-08-20,load,163.41399103507885,202.5452566145293,0.0290410389365717,"{""lag1"": 0.10659319746381238, ""mean7"": 0.09347462526857862, ""lag7"": 0.3918563769159044, ""gbdt"": 0.4080758003517046}",2025-08-19
2025-08-20,pv,303.44282561861667,488.43658040783725,0.1130889142166017,"{""lag1"": 0.267915855247514, ""mean7"": 0.30422343338740765, ""lag7"": 0.21924608113211214, ""gbdt"": 0.20861463023296617}",2025-08-19
2025-08-21,load,150.9303100478708,190.8415577731685,0.0268376614275746,"{""lag1"": 0.10639311999034777, ""mean7"": 0.09344719963440506, ""lag7"": 0.39130546196605565, ""gbdt"": 0.40885421840919145}",2025-08-20
2025-08-21,pv,185.37057849721467,304.20469962818976,0.0643579122645376,"{""lag1"": 0.26837880168435885, ""mean7"": 0.2999607580664675, ""lag7"": 0.22137423615006735, ""gbdt"": 0.21028620409910645}",2025-08-20
2025-08-22,load,349.49364554009816,396.6159829088866,0.092650913175988,"{""lag1"": 0.10639135944046231, ""mean7"": 0.09344813742173753, ""lag7"": 0.3901908134967896, ""gbdt"": 0.40996968964101055}",2025-08-21
2025-08-22,pv,165.02751324973647,261.067991601264,0.0571514280690575,"{""lag1"": 0.26622109662316285, ""mean7"": 0.30126255499148824, ""lag7"": 0.22142438062049158, ""gbdt"": 0.21109196776485728}",2025-08-21
2025-08-23,load,207.91962869742045,249.6003693897526,0.0556324398075852,"{""lag1"": 0.10659346564458966, ""mean7"": 0.09353996498219345, ""lag7"": 0.38885184613922025, ""gbdt"": 0.4110147232339966}",2025-08-22
2025-08-23,pv,184.2180898015041,337.96696024588914,0.0658243621769623,"{""lag1"": 0.2696584128325985, ""mean7"": 0.2991807160780667, ""lag7"": 0.2207209405161785, ""gbdt"": 0.21043993057315624}",2025-08-22
2025-08-24,load,307.28783065732046,366.2199429616266,0.0546014158589347,"{""lag1"": 0.10564856471289383, ""mean7"": 0.09284384827558652, ""lag7"": 0.38939661516951063, ""gbdt"": 0.41211097184200907}",2025-08-23
2025-08-24,pv,247.89359401259048,429.6672170534058,0.0834021092807871,"{""lag1"": 0.2689837786356991, ""mean7"": 0.2991000909840373, ""lag7"": 0.22030060317854, ""gbdt"": 0.21161552720172358}",2025-08-23
2025-08-25,load,137.37886664547963,176.01643359604032,0.0245115845953599,"{""lag1"": 0.1057306576539413, ""mean7"": 0.09294036699048064, ""lag7"": 0.38962209689920735, ""gbdt"": 0.4117068784563707}",2025-08-24
2025-08-25,pv,296.16090582870135,485.0793144429455,0.1115159402668093,"{""lag1"": 0.2678096449457936, ""mean7"": 0.2992199343008178, ""lag7"": 0.22165088350848572, ""gbdt"": 0.21131953724490288}",2025-08-24
2025-08-26,load,168.60932273670804,210.8742610649478,0.0301157620571422,"{""lag1"": 0.10538144486278539, ""mean7"": 0.09264909922228061, ""lag7"": 0.38915211120812554, ""gbdt"": 0.4128173447068085}",2025-08-25
2025-08-26,pv,182.1367240869834,327.1165731498133,0.0634990141749867,"{""lag1"": 0.2669851957077326, ""mean7"": 0.30093790568286116, ""lag7"": 0.21961805873749962, ""gbdt"": 0.2124588398719067}",2025-08-25
2025-08-27,load,125.9489840099381,160.2644962116572,0.0225937078301697,"{""lag1"": 0.10542572259972224, ""mean7"": 0.0924675847895418, ""lag7"": 0.38864172617851545, ""gbdt"": 0.41346496643222047}",2025-08-26
2025-08-27,pv,160.8325852813631,240.42414790175548,0.0585962349357488,"{""lag1"": 0.265057938762983, ""mean7"": 0.30296537989766986, ""lag7"": 0.22094318821374154, ""gbdt"": 0.21103349312560554}",2025-08-26
2025-08-28,load,189.48364013664929,239.70005914316505,0.0338001959460265,"{""lag1"": 0.10505339094827638, ""mean7"": 0.09227174681015268, ""lag7"": 0.38738510164101553, ""gbdt"": 0.4152897606005554}",2025-08-27
2025-08-28,pv,236.10558229797277,455.9395899597024,0.0888505402888315,"{""lag1"": 0.26731197722225947, ""mean7"": 0.30238954911268984, ""lag7"": 0.21813756480915633, ""gbdt"": 0.21216090885589428}",2025-08-27
2025-08-29,load,435.8312990453881,487.4422052035073,0.1184212457669598,"{""lag1"": 0.10518729495583246, ""mean7"": 0.09222930905377455, ""lag7"": 0.3872986325603039, ""gbdt"": 0.4152847634300891}",2025-08-28
2025-08-29,pv,174.06509828822007,253.85417976841708,0.0635147436267624,"{""lag1"": 0.26875147534936356, ""mean7"": 0.2990474582143981, ""lag7"": 0.21936423580543796, ""gbdt"": 0.21283683063080033}",2025-08-28
2025-08-30,load,211.2423440076394,265.18073661178414,0.0569481748775328,"{""lag1"": 0.10522505497378014, ""mean7"": 0.09239512600844914, ""lag7"": 0.38732571480365224, ""gbdt"": 0.41505410421411854}",2025-08-29
2025-08-30,pv,258.5026527567301,469.5476301403676,0.0879854678566161,"{""lag1"": 0.2685309169392042, ""mean7"": 0.30297458320098375, ""lag7"": 0.214434260401268, ""gbdt"": 0.214060239458544}",2025-08-29
2025-08-31,load,277.99540613005865,335.66118914835783,0.0500271566429188,"{""lag1"": 0.10497468306352395, ""mean7"": 0.09239378879951513, ""lag7"": 0.3872986987587162, ""gbdt"": 0.4153328293782447}",2025-08-30
