date,policy,total_cost_yuan,regular_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s,max_mip_gap,wall_time_s
2025-06-22,24h,81065.78654317214,42879.53932930413,35830.862141416,7048.677187888128,38186.24721386802,8738.683514107419,93,8264.00383683902,0.9727019991260022,0.0,0.04311269999016076
2025-06-23,24h,62605.516056065186,45764.16604182399,43622.50216949565,2141.6638723283404,16841.350014241194,3945.450769761014,55,8483.679822651768,1.1709035995882004,0.0,0.05239949998212978
2025-06-24,24h,70220.0816315719,52400.21016996527,50389.64026379118,2010.5699061740884,17819.871461606628,4295.076705667842,64,8629.028559806078,1.1203055998776108,0.0,0.05150199998752214
2025-06-25,24h,62237.38819815623,47022.60011848974,43680.003209683186,3342.596908806554,15214.788079666489,3592.9513083719285,60,8478.506812389624,1.1372688001720235,0.0,0.05305749998660758
2025-06-26,24h,60524.04009645947,44403.68950825758,42512.31602323179,1891.373485025793,16120.350588201887,3876.2093855576236,67,1978.5467967468012,1.070909998845309,0.0,0.049382400000467896
2025-06-27,24h,27724.755064994042,26764.83153723551,26643.034309328053,121.79722790745546,959.9235277585321,297.0935061369174,5,3665.771263159109,1.129708800232038,0.0,0.051667099993210286
2025-06-28,24h,30259.50449330576,26317.11872180983,21613.106876972517,4704.011844837314,3942.38577149593,1238.7717844847195,26,9531.953537114447,1.1380104005802423,0.0,0.05217029998311773
2025-06-29,24h,81982.13786718887,43513.149796530255,34769.080809367035,8744.06898716322,38468.98807065861,8835.959361363615,103,8308.699486214959,1.2191615992924199,0.0,0.05274650000501424
2025-06-30,24h,64407.21527177748,48012.0503474297,44826.503590655404,3185.5467567742926,16395.16492434778,4053.8860459678444,71,6710.68830768946,1.1509344015503302,0.0,0.05238680000184104
2025-07-01,24h,94716.76464285847,48247.15151520231,39254.95285601761,8992.198659184702,46469.613127656165,11761.241984877573,99,3218.0086882500495,1.0766735997749493,0.0,0.050879099988378584
2025-07-02,24h,89852.06548171504,49649.25535742717,39694.598872922754,9954.656484504416,40202.81012428786,9950.368547911621,89,7711.856796155886,1.1137103999499232,0.0,0.05173619999550283
2025-07-03,24h,87677.90465249016,46983.1085314089,44388.34267291146,2594.7658584974424,40694.796121081265,10271.258692532641,107,1724.405566387037,1.076767199439928,0.0,0.05234960000962019
2025-07-04,24h,35280.210123935365,27190.4361980422,25605.862054379122,1584.5741436630792,8089.773925893169,2778.943495413286,57,2474.3489187163837,1.159826401155442,0.0,0.05297439999412745
2025-07-05,24h,42966.9450268162,27393.423362083624,22631.726377269362,4761.69698481426,15573.521664732583,4540.923733554778,66,5857.070162935978,1.1531376005150378,0.0,0.050661100016441196
2025-07-06,24h,115644.68401188127,45798.59649199577,35928.9723600895,9869.62413190627,69846.08751988549,16746.797774712322,115,2973.50067918539,1.0986192013369873,0.0,0.04762500000651926
2025-07-07,24h,86511.97532665363,49885.554615008994,42658.94279256648,7226.611822442519,36626.420711644634,8850.934280536832,74,7354.578940309145,1.1084904000163078,0.0,0.05441600002814084
2025-07-08,24h,72566.13455237632,53822.48608727071,50707.30656283705,3115.179524433657,18743.6484651056,4342.689363461443,62,8251.21736420021,1.1563091984717175,0.0,0.052915000007487833
2025-07-09,24h,67364.66865046041,51145.1950296382,50802.93956810584,342.255461532358,16219.47362082222,3780.542614611521,60,8545.308003129636,1.1395619998220354,0.0,0.05215870001120493
2025-07-10,24h,66928.33114340121,50293.305977204334,47443.48196387821,2849.824013326127,16635.02516619688,4084.8067325538996,58,5183.278119385246,1.025341201806441,0.0,0.047487700008787215
2025-07-11,24h,36998.46373309779,34938.24093854425,34567.68133920866,370.559599335591,2060.2227945535433,649.2090810331788,10,3895.023730361583,1.0650059999898076,0.0,0.04892000000108965
