date,24h,48h,delta_24h_minus_48h_yuan
2025-04-30,51181.04872523676,49645.64231490958,1535.4064103271812
2025-05-01,57783.939873923344,59373.53657126079,-1589.5966973374452
2025-05-02,22599.66511610485,25006.40771152609,-2406.7425954212413
2025-05-03,24099.3591466281,25513.007942794677,-1413.648796166577
2025-05-04,70355.13381249944,69564.68280165919,790.4510108402465
2025-05-05,57874.56136743251,58012.70009717915,-138.13872974664264
2025-05-06,63862.74946865068,63021.16418602082,841.5852826298651
2025-05-07,60205.55542028435,59204.597306794494,1000.9581134898544
2025-05-08,56169.64010712878,56559.80319571095,-390.16308858217235
2025-05-09,22118.05854626392,24770.51447898965,-2652.4559327257302
2025-05-10,26073.531430031413,26303.41643315689,-229.88500312547694
2025-05-11,65542.3090587327,65364.7785049832,177.53055374950054
2025-05-12,56816.25248219792,57307.90545498673,-491.6529727888119
2025-05-13,50133.213930731414,50150.6884467808,-17.474516049383965
2025-05-14,52490.50890685343,52427.27576707959,63.23313977383805
2025-05-15,51947.32704218841,53930.27706335073,-1982.9500211623235
2025-05-16,21774.872443874585,24756.33308828076,-2981.4606444061756
2025-05-17,23222.676108784188,23459.117602166385,-236.44149338219722
2025-05-18,60921.02758055768,60591.31762210693,329.7099584507523
2025-05-19,52186.65287564826,50272.27437979949,1914.3784958487668
2025-05-20,57752.454125622266,57053.245287203936,699.2088384183298
2025-05-21,52862.81170562198,51032.21072961396,1830.6009760080196
2025-05-22,50086.440824164005,52022.91762481646,-1936.4768006524537
2025-05-23,21842.652373576046,24856.11964575305,-3013.467272177004
2025-05-24,22065.57607623076,22966.125802814408,-900.5497265836493
2025-05-25,60081.814368943014,58959.10234189195,1122.712027051064
2025-05-26,55122.66612289666,53843.89137440853,1278.774748488133
2025-05-27,57065.774276874115,54802.33931354995,2263.4349633241654
2025-05-28,48904.09096707095,48892.25350603672,11.837461034228909
2025-05-29,54223.790708848835,55486.96089847371,-1263.1701896248778
2025-05-30,22712.582151780614,25348.796600009384,-2636.2144482287695
2025-05-31,24796.419642649103,23711.65770477741,1084.7619378716918
2025-06-01,97530.33642175149,96759.22232584955,771.1140959019394
2025-06-02,75203.8652512562,74891.4604154115,312.4048358447035
2025-06-03,70957.2737260329,70715.15128143238,242.1224446005217
2025-06-04,79328.42412151929,78482.77619626079,845.6479252584977
2025-06-05,73141.70851311412,74301.94219407256,-1160.2336809584376
2025-06-06,29810.485528423622,32028.585761886112,-2218.10023346249
2025-06-07,31793.790292131256,31606.86114875356,186.92914337769616
2025-06-08,70953.06427177333,69565.68926489443,1387.375006878894
2025-06-09,67484.65075429397,67388.31999756125,96.33075673271378
2025-06-10,66319.546601331,66298.18577310242,21.360828228585888
2025-06-11,69733.32457975022,69698.6569943624,34.667585387811414
2025-06-12,66134.17163984236,66821.13791857308,-686.966278730717
2025-06-13,31594.853306455865,32919.376168381576,-1324.5228619257105
2025-06-14,29096.961238748892,27450.50567723535,1646.4555615135432
2025-06-15,79612.01862965524,79196.22012800415,415.79850165109383
2025-06-16,67285.86909386607,67222.73205801006,63.13703585600888
2025-06-17,70591.91244897811,70571.26856347962,20.64388549848809
2025-06-18,64321.96014485015,64290.391147740644,31.56899710950529
2025-06-19,66551.61371530584,67265.87756276876,-714.2638474629202
2025-06-20,30458.12061983163,30406.603059492856,51.517560338772455
2025-06-21,28343.220779587056,28065.713081423502,277.50769816355387
2025-06-22,81065.78654317214,80570.0318027534,495.75474041874986
2025-06-23,62605.516056065186,62254.82096155919,350.69509450599435
2025-06-24,70220.0816315719,69331.2835421197,888.7980894522043
2025-06-25,62237.38819815623,62218.737458042,18.650740114229848
2025-06-26,60524.04009645947,61734.14902208928,-1210.1089256298146
2025-06-27,27724.755064994042,29814.599470110556,-2089.8444051165134
2025-06-28,30259.50449330576,28641.219679031085,1618.284814274677
2025-06-29,81982.13786718887,80653.93113757526,1328.2067296136083
2025-06-30,64407.21527177748,63074.65606390109,1332.5592078763875
2025-07-01,94716.76464285847,94566.39622200311,150.36842085536045
2025-07-02,89852.06548171504,87798.888211903,2053.177269812033
2025-07-03,87677.90465249016,88897.01193313787,-1219.1072806477023
2025-07-04,35280.210123935365,37795.35737887122,-2515.1472549358514
2025-07-05,42966.9450268162,41642.03977915054,1324.9052476656652
2025-07-06,115644.68401188127,116136.95896235631,-492.2749504750391
