date,mode,terminal_value_raw_yuan_per_kwh,terminal_value_used_yuan_per_kwh,finite_diff_E_low_kwh,finite_diff_E_high_kwh,finite_diff_J_low_yuan,finite_diff_J_high_yuan,finite_diff_low_mip_gap,finite_diff_high_mip_gap,finite_diff_low_solver_time_s,finite_diff_high_solver_time_s,E_start_kwh,E_plan_end_kwh,E_real_end_kwh,real_E_min_kwh,real_E_max_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,solver_elapsed_s,solver_mip_gap,sampled_residual_days,sampled_residual_dates,training_cutoff,scenario_count,horizon_hours,max_residual_kwh,max_real_state_residual_kwh,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-02-04,fixed_v_0.5,,0.5,,,,,,,,,10800.0,10800.0,10800.0,2633.4341343103474,10800.0,67973.16810425548,47.45012344937336,68020.61822770486,11.473854056189907,19315.425638982226,19482.299772740087,15780.662815919472,0.1585227999894414,0.0,"[27, 20, 23, 24, 19, 11, 11, 19, 2, 13]","[""2025-01-28"", ""2025-01-21"", ""2025-01-24"", ""2025-01-25"", ""2025-01-20"", ""2025-01-12"", ""2025-01-12"", ""2025-01-20"", ""2025-01-03"", ""2025-01-14""]",2025-02-03,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,749.4092794084954
2025-02-04,fixed_v_0.8,,0.8,,,,,,,,,10800.0,10800.0,10800.0,2633.4341343103474,10800.0,67973.16810425548,47.45012344937336,68020.61822770486,11.473854056189907,19315.425638982226,19482.299772740087,15780.662815919472,0.17586970000411384,0.0,"[27, 20, 23, 24, 19, 11, 11, 19, 2, 13]","[""2025-01-28"", ""2025-01-21"", ""2025-01-24"", ""2025-01-25"", ""2025-01-20"", ""2025-01-12"", ""2025-01-12"", ""2025-01-20"", ""2025-01-03"", ""2025-01-14""]",2025-02-03,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,749.4092794084954
2025-02-04,fixed_v_1,,1.0,,,,,,,,,10800.0,10800.0,10800.0,2633.4341343103474,10800.0,67973.16810425548,47.45012344937336,68020.61822770486,11.473854056189907,19315.425638982226,19482.299772740087,15780.662815919472,0.17047579999780282,0.0,"[27, 20, 23, 24, 19, 11, 11, 19, 2, 13]","[""2025-01-28"", ""2025-01-21"", ""2025-01-24"", ""2025-01-25"", ""2025-01-20"", ""2025-01-12"", ""2025-01-12"", ""2025-01-20"", ""2025-01-03"", ""2025-01-14""]",2025-02-03,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,749.4092794084954
2025-02-04,dynamic_v,0.474555555555562,0.474555555555562,7078.029813239636,7178.029813239636,49619.55950708887,49572.10395153331,0.0,0.0,0.015867399983108044,0.01491389999864623,7078.029813239636,8700.0,10098.731745657735,2633.4341343103474,10800.0,68888.3644141911,68.09151374392034,68956.45592793502,20.92504008849164,18020.303799690166,22838.63525320464,15780.662815919472,0.19760360001237132,0.0,"[27, 20, 23, 24, 19, 11, 11, 19, 2, 13]","[""2025-01-28"", ""2025-01-21"", ""2025-01-24"", ""2025-01-25"", ""2025-01-20"", ""2025-01-12"", ""2025-01-12"", ""2025-01-20"", ""2025-01-03"", ""2025-01-14""]",2025-02-03,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,749.4092794084954
2025-02-05,fixed_v_0,,0.0,,,,,,,,,2633.4341343103474,1200.0,1594.5372531682888,1594.5372531682888,10800.0,56807.93117268583,1032.8071788976008,57840.73835158343,265.79890552562375,5846.809627989786,21173.966488543505,18085.920048748092,0.426397499977611,0.0,"[32, 29, 29, 19, 16, 33, 22, 31, 18, 23]","[""2025-02-02"", ""2025-01-30"", ""2025-01-30"", ""2025-01-20"", ""2025-01-17"", ""2025-02-03"", ""2025-01-23"", ""2025-02-01"", ""2025-01-19"", ""2025-01-24""]",2025-02-04,10,24,1.0231815394945443e-12,8.242295734817162e-13,0,0,0,833.3333333333333,829.9639045217126
2025-02-05,fixed_v_0.3,,0.3,,,,,,,,,2633.4341343103474,1200.0,1594.5372531682888,1594.5372531682888,10800.0,56807.93117268583,1032.8071788976008,57840.73835158343,265.79890552562375,5846.809627989787,21173.9664885435,18085.920048748092,0.42249130000709556,0.0,"[32, 29, 29, 19, 16, 33, 22, 31, 18, 23]","[""2025-02-02"", ""2025-01-30"", ""2025-01-30"", ""2025-01-20"", ""2025-01-17"", ""2025-02-03"", ""2025-01-23"", ""2025-02-01"", ""2025-01-19"", ""2025-01-24""]",2025-02-04,10,24,1.0231815394945443e-12,8.242295734817162e-13,0,0,0,833.3333333333333,829.9639045217126
2025-02-05,fixed_v_0.5,,0.5,,,,,,,,,10800.0,10199.999999999993,10594.537253168288,1594.537253168287,10800.0,57209.91034289121,1147.7376710955941,58357.64801398681,321.2007152458359,6003.617533932515,22100.004415555,18085.920048748085,0.29342990001896396,0.0,"[32, 29, 29, 19, 16, 33, 22, 31, 18, 23]","[""2025-02-02"", ""2025-01-30"", ""2025-01-30"", ""2025-01-20"", ""2025-01-17"", ""2025-02-03"", ""2025-01-23"", ""2025-02-01"", ""2025-01-19"", ""2025-01-24""]",2025-02-04,10,24,3.637978807091713e-12,9.094947017729282e-13,0,0,0,833.3333333333333,829.9639045217126
2025-02-05,fixed_v_0.8,,0.8,,,,,,,,,10800.0,10800.0,10800.0,1594.537253168287,10800.0,57521.39105264869,1147.7376710955941,58669.12872374428,321.2007152458359,6488.422456006278,22328.29635647912,18085.92004874809,0.4454277000040747,0.0,"[32, 29, 29, 19, 16, 33, 22, 31, 18, 23]","[""2025-02-02"", ""2025-01-30"", ""2025-01-30"", ""2025-01-20"", ""2025-01-17"", ""2025-02-03"", ""2025-01-23"", ""2025-02-01"", ""2025-01-19"", ""2025-01-24""]",2025-02-04,10,24,1.1368683772161603e-12,8.242295734817162e-13,0,0,0,833.3333333333333,829.9639045217126
2025-02-05,fixed_v_1,,1.0,,,,,,,,,10800.0,10800.0,10800.0,1594.5372531682888,10800.0,57521.39105264869,1147.7376710955914,58669.12872374428,321.20071524583517,6488.422456006274,22328.296356479124,18085.920048748092,0.2636013000155799,0.0,"[32, 29, 29, 19, 16, 33, 22, 31, 18, 23]","[""2025-02-02"", ""2025-01-30"", ""2025-01-30"", ""2025-01-20"", ""2025-01-17"", ""2025-02-03"", ""2025-01-23"", ""2025-02-01"", ""2025-01-19"", ""2025-01-24""]",2025-02-04,10,24,1.1368683772161603e-12,9.094947017729282e-13,0,0,0,833.3333333333333,829.9639045217126
2025-02-05,dynamic_v,0.41255555555559115,0.41255555555559115,10098.731745657735,10198.731745657735,48962.63086948211,48921.375313926554,0.0,0.0,0.02618720001191832,0.026179700013017282,10098.731745657735,1200.0,1594.5372531682888,1594.5372531682888,10800.0,53083.26718770996,1162.4756558806334,54245.74284359059,326.87772102356865,5504.70434833373,12879.191364824183,18085.920048748092,0.39293900001212023,0.0,"[32, 29, 29, 19, 16, 33, 22, 31, 18, 23]","[""2025-02-02"", ""2025-01-30"", ""2025-01-30"", ""2025-01-20"", ""2025-01-17"", ""2025-02-03"", ""2025-01-23"", ""2025-02-01"", ""2025-01-19"", ""2025-01-24""]",2025-02-04,10,24,1.5916157281026244e-12,8.242295734817162e-13,0,0,0,833.3333333333333,829.9639045217126
