date,H24,H48,H24_minus_H48_yuan
2025-03-09,53265.97235692777,52749.966859001084,516.0054979266861
2025-03-10,52153.323806296736,51915.459901086375,237.86390521036083
2025-03-11,52014.511941988676,51867.928398959986,146.58354302868975
2025-03-12,48538.087589018156,48123.73085520448,414.35673381367815
2025-03-13,48752.426456891575,47716.47863907574,1035.9478178158315
2025-03-14,21884.49729396321,21412.011607298093,472.4856866651171
2025-03-15,20948.72026016032,21648.07381979443,-699.3535596341098
2025-03-16,50620.665454826325,50208.72723946312,411.9382153632032
2025-03-17,45832.75069047479,45528.71304615962,304.0376443151763
2025-03-18,47276.10576025301,47028.71715626441,247.3886039886056
2025-03-19,47354.07927787884,47249.46305087131,104.61622700752923
2025-03-20,48009.93347400588,46825.788916523445,1184.144557482432
2025-03-21,21407.072261227157,20673.00208756349,734.0701736636656
2025-03-22,19389.762470493613,20214.39872667266,-824.6362561790484
2025-03-23,48425.57192602814,47902.77660903764,522.7953169905013
2025-03-24,43880.38931290857,43749.132569038426,131.25674387014442
2025-03-25,47764.80763569872,47416.61296527508,348.19467042363976
2025-03-26,42695.62679714607,42737.479713758585,-41.8529166125154
2025-03-27,44561.66383641882,43352.9557210212,1208.7081153976178
2025-03-28,21638.2965383202,21015.23967022933,623.0568680908691
2025-03-29,18986.17325877737,19687.119416756872,-700.9461579795025
2025-03-30,43983.843212957094,43498.13772095805,485.70549199904053
2025-03-31,45606.78571781894,45288.2686989412,318.5170188777338
2025-04-01,46431.387739842714,46316.387419394625,115.00032044808904
2025-04-02,44711.81925701987,44501.996176519315,209.82308050055872
2025-04-03,43921.733164487174,42425.13524073473,1496.5979237524443
2025-04-04,20377.058056041922,19840.777029777677,536.2810262642452
2025-04-05,17960.405763497936,18781.11503202301,-820.7092685250755
2025-04-06,43166.095996144024,42839.13286373448,326.96313240954623
2025-04-07,41455.65378343199,41202.927291720946,252.72649171104422
2025-04-08,42965.65174518153,42760.26177686716,205.38996831436816
2025-04-09,44349.12107072819,44118.59708054998,230.52399017821153
2025-04-10,42606.969672742045,40602.84595872251,2004.1237140195371
2025-04-11,20451.637913817238,19871.200436954114,580.4374768631242
2025-04-12,18130.683739910313,19211.642377334556,-1080.9586374242426
2025-04-13,42469.04426736207,41982.82590497795,486.21836238411925
2025-04-14,43044.44777608817,42766.735128935485,277.71264715268626
2025-04-15,39664.63579218188,39332.178450177686,332.45734200419247
2025-04-16,42914.30208023518,42700.67990086541,213.62217936976958
2025-04-17,40875.279605103,38568.37580068036,2306.90380442264
2025-04-18,19754.649829826056,19005.85636492275,748.793464903305
2025-04-19,18191.023392267904,20067.17156565098,-1876.148173383077
2025-04-20,40562.89769926422,39883.3225456276,679.5751536366224
2025-04-21,39418.2521631585,38992.335496724736,425.91666643376084
2025-04-22,40362.202524185595,40300.5122383023,61.6902858832982
2025-04-23,40240.748665987696,39931.24493826649,309.5037277212032
2025-04-24,36694.69205044786,34174.61042872081,2520.081621727055
2025-04-25,17280.773793339213,16428.94777214414,851.8260211950728
2025-04-26,17178.289344896508,19123.72502275908,-1945.4356778625734
2025-04-27,43847.81567984443,43268.429296516464,579.3863833279684
2025-04-28,41891.38767077939,41654.34423812241,237.04343265698117
2025-04-29,36817.55537110175,36562.86200644253,254.69336465922242
2025-04-30,35031.38481485409,35069.17797388609,-37.7931590320004
2025-05-01,43086.2488194529,40828.4635276941,2257.7852917588025
2025-05-02,26181.31736732256,26507.920141891744,-326.60277456918266
2025-05-03,19410.657257859675,21308.43897958733,-1897.7817217276533
2025-05-04,43008.98448007107,42816.9804785904,192.00400148067274
2025-05-05,45165.30696856271,45348.85394804522,-183.54697948250396
2025-05-06,45495.081805992435,45659.91023527132,-164.8284292788885
2025-05-07,47829.818607074885,47932.37534222798,-102.55673515309172
2025-05-08,45186.48575473044,43048.524952464395,2137.960802266047
2025-05-09,22055.63221467387,21245.266201132843,810.3660135410282
2025-05-10,21536.208466897257,23210.201503482436,-1673.9930365851797
2025-05-11,45259.55329377916,44700.159410127715,559.3938836514426
2025-05-12,42184.41085746886,41979.99010551061,204.42075195824873
2025-05-13,42542.48694419263,42290.086763905885,252.4001802867424
2025-05-14,43996.655274311226,43834.73480410637,161.92047020485916
2025-05-15,45852.6086592094,43182.36190167286,2670.246757536537
2025-05-16,21935.091217256195,21052.537628766768,882.553588489427
2025-05-17,19486.075501984054,21058.380350167005,-1572.30484818295
2025-05-18,42957.302197687095,42639.960762850795,317.3414348363003
2025-05-19,39593.533210569,39193.27031439952,400.26289616948634
2025-05-20,41914.1251402758,41729.53880430426,184.58633597153676
2025-05-21,42295.64075505384,42184.45716246808,111.18359258575947
2025-05-22,39819.76830230352,37104.633415023665,2715.1348872798553
2025-05-23,21653.162545322906,20786.152133210984,867.010412111922
2025-05-24,18611.610012649107,20511.68784415238,-1900.077831503273
2025-05-25,41654.3740301242,41292.69865043639,361.6753796878111
2025-05-26,44334.79924976717,44087.11271234305,247.68653742412425
2025-05-27,42180.289947512654,41789.00276020045,391.2871873122058
2025-05-28,41982.38035655302,41884.8655776105,97.5147789425173
2025-05-29,46798.31737412266,43848.477149334874,2949.840224787782
2025-05-30,20385.36958222992,19569.8559013972,815.5136808327188
2025-05-31,19467.83773708802,21546.80939287314,-2078.9716557851207
2025-06-01,62969.55658960463,62510.97404237098,458.582547233651
2025-06-02,58312.567688910254,58522.13155410197,-209.56386519171792
2025-06-03,59482.395248290384,59505.64011871135,-23.244870420967345
2025-06-04,60266.50008790671,60221.486939831535,45.013148075173376
2025-06-05,57227.43630006444,55650.99974997851,1576.4365500859276
2025-06-06,30871.90307843734,30459.021726212395,412.88135222494384
2025-06-07,30289.71332570279,32396.11155851203,-2106.3982328092425
2025-06-08,55392.66302210774,55294.920798753,97.74222335474042
2025-06-09,57455.670483380396,56907.37282154532,548.2976618350731
2025-06-10,58040.90464457711,57863.20050404923,177.70414052787964
2025-06-11,61338.89307802783,60884.752237619985,454.14084040784655
2025-06-12,60477.976675382044,60033.65943010152,444.3172452805229
2025-06-13,34944.30149171019,34753.27199661712,191.02949509306927
2025-06-14,30749.089699139273,30397.437191846588,351.6525072926852
2025-06-15,60089.012218262105,59701.55711512973,387.45510313237173
2025-06-16,60639.070809406774,60145.004187304105,494.0666221026695
2025-06-17,60744.089022041604,60388.76808918031,355.32093286129384
2025-06-18,58961.30843388281,58710.21959712272,251.08883676009282
2025-06-19,58541.15648415703,58083.398553883875,457.75793027315376
2025-06-20,30722.35750301789,30136.26276261573,586.0947404021608
2025-06-21,27290.08544651039,27132.129252827574,157.95619368281768
2025-06-22,55042.34209757818,54662.72673042011,379.6153671580687
2025-06-23,54340.263402007855,54144.18118548763,196.0822165202262
2025-06-24,62868.572681087964,62528.64747289425,339.92520819371566
2025-06-25,58222.036169871586,57808.94291697604,413.09325289554545
2025-06-26,54956.888032365314,54709.14957068821,247.73846167710144
2025-06-27,30103.622603900196,29151.846102166677,951.7765017335187
2025-06-28,28544.821663153274,28772.690180235564,-227.86851708229005
2025-06-29,56664.64460824554,56040.26871938117,624.3758888643642
2025-06-30,55311.60896869483,55300.82621760003,10.782751094804553
2025-07-01,69142.20143660877,68611.03698103415,531.164455574617
2025-07-02,58037.49580612205,58402.528697569476,-365.032891447423
2025-07-03,68086.91622582714,67778.32335003035,308.5928757967922
2025-07-04,37721.8684290896,37045.06526701748,676.8031620721158
2025-07-05,31892.90650093116,32433.775887929834,-540.8693869986746
2025-07-06,70652.69795919895,70389.37552707524,263.3224321237067
2025-07-07,62068.21019921849,62102.06378405682,-33.85358483833261
2025-07-08,62943.71757405884,62841.25390100776,102.46367305108288
2025-07-09,62218.890075224605,61988.531073274586,230.35900195001886
2025-07-10,61944.337345989625,61352.48765816417,591.8496878254518
2025-07-11,40478.25459228725,39359.52257466897,1118.7320176182839
2025-07-12,37124.862915132304,37709.921614105464,-585.0586989731601
2025-07-13,59655.84411158383,59256.024654075954,399.8194575078742
2025-07-14,57575.15985741087,57096.26333913865,478.89651827222406
2025-07-15,58166.774728860575,57891.53154864824,275.24318021233194
2025-07-16,60331.89065233702,59793.43989552333,538.4507568136905
2025-07-17,59990.24958259834,59492.695614866556,497.55396773178654
2025-07-18,41098.45691223879,39276.50565960855,1821.9512526302424
2025-07-19,35976.28189667442,36872.437999539856,-896.1561028654323
2025-07-20,59944.334617063825,59485.07021648645,459.26440057737636
2025-07-21,60746.892648399065,60318.68089983843,428.2117485606359
2025-07-22,63312.82748077007,62896.63402785188,416.1934529181963
2025-07-23,59906.14676628054,59484.93231299339,421.21445328714617
2025-07-24,60725.45057860362,60414.65729288619,310.7932857174237
2025-07-25,38821.80977263166,37860.65867865625,961.1510939754153
2025-07-26,33695.20905500123,33909.59021072626,-214.3811557250301
2025-07-27,60974.48141181493,60438.84143459858,535.6399772163495
2025-07-28,63356.77750836951,63025.65155401175,331.12595435776166
2025-07-29,60991.46996005091,60454.27762735544,537.1923326954711
2025-07-30,63935.49333179004,63601.67739862026,333.8159331697825
2025-07-31,60897.06795518776,60051.467608677354,845.6003465104077
2025-08-01,34170.92822084317,33800.81330139978,370.1149194433892
2025-08-02,33853.493259200004,33830.03459320051,23.45866599949659
2025-08-03,52267.04547302884,51839.68191181494,427.3635612138969
2025-08-04,55558.5498459516,55458.6859670879,99.86387886370358
2025-08-05,53879.8837992553,53532.08077778479,347.80302147051407
2025-08-06,55297.77301672057,54888.28584400429,409.4871727162754
2025-08-07,56296.082269160026,53963.392050548435,2332.6902186115913
2025-08-08,32621.916182121942,32111.294449444653,510.6217326772894
2025-08-09,29481.046422398664,30782.27995900646,-1301.2335366077969
2025-08-10,55854.478167093,55224.00761505435,630.470552038656
2025-08-11,54108.29437540936,53600.6113938648,507.6829815445599
