date,policy,t,issue_slot,price_yuan_per_kwh,load_kw,pv_kw,committed_grid_kwh,baseline_grid_kwh,adjustment_grid_kwh,charge_exec_kwh,discharge_exec_kwh,emergency_kwh,surplus_kwh,E_start_kwh,E_end_kwh,emergency_cost_yuan
2025-06-08,H24,64,36,0.799,6411.8021,7593.442,0.0,0.0,0.0,0.0,0.0,0.0,196.93998333333343,4090.210194766253,4090.210194766253,0.0
2025-06-08,H24,65,36,0.5025,6399.53,7347.6375,785.3171915978656,861.1673166652571,-75.85012506739145,833.3333333333333,0.0,0.0,110.00177493119895,4090.210194766253,4840.210194766253,0.0
2025-06-08,H24,66,36,0.4662,6616.6412,7729.7482,799.8445334970427,930.9683575974769,-131.12382410043426,833.3333333333333,0.0,0.0,152.02903349704275,4840.210194766253,5590.210194766253,0.0
2025-06-08,H24,67,36,0.5007,6652.7253,7976.7529,784.0904947175794,901.7367809798708,-117.64628626229137,833.3333333333333,0.0,0.0,171.428428050913,5590.210194766253,6340.210194766253,0.0
2025-06-08,H24,68,36,0.4827,6439.98,7837.6125,749.9032375203635,847.4136338252849,-97.51039630492141,833.3333333333333,0.0,0.0,149.5086541870303,6340.210194766253,7090.210194766253,0.0
2025-06-08,H24,69,36,0.4785,6308.9848,7789.9146,768.9432489717298,835.9075621160002,-66.96431314427048,833.3333333333333,0.0,0.0,182.43154897172985,7090.210194766253,7840.210194766253,0.0
2025-06-08,H24,70,36,0.4662,6203.2097,7609.9867,814.5174623124434,856.3098583121608,-41.79239599971743,833.3333333333333,0.0,0.0,215.64696231244375,7840.210194766253,8590.210194766252,0.0
2025-06-08,H24,71,36,0.4432,6101.64,7249.2,833.0740848427155,894.9989621197476,-61.924877277032124,833.3333333333333,0.0,0.0,191.00075150938187,8590.210194766252,9340.210194766252,0.0
2025-06-08,H24,72,72,0.4411,6102.8679,6959.0159,841.702678517264,878.6625506351871,-36.95987211792317,771.431237424542,0.0,0.0,212.96277442605526,9340.210194766252,10034.49830844834,0.0
2025-06-08,H24,73,72,0.4551,6223.6828,6751.9055,49.129264826444185,787.8291659909906,-738.6999011645464,0.0,0.0,0.0,137.16638149311075,10034.49830844834,10034.49830844834,0.0
2025-06-08,H24,74,72,0.4463,6248.97,6621.9375,124.9272430883729,770.5499141824408,-645.622671094068,110.30316265709592,0.0,0.0,76.78533043127715,10034.49830844834,10133.771154839726,0.0
2025-06-08,H24,75,72,0.4113,5988.7492,6635.963,785.5373785634758,785.5373785634758,0.0,740.2542724003049,0.0,0.0,153.1520728298375,10133.771154839726,10800.0,0.0
2025-06-08,H24,76,72,0.5682,6151.613,6948.9329,50.728443663075566,786.418474912225,-735.6900312491493,0.0,-0.0,0.0,183.6150936630754,10800.0,10800.0,0.0
2025-06-08,H24,77,72,0.8279,6723.95,7241.1375,90.44436863186561,0.0,90.44436863186561,0.0,-0.0,0.0,176.64228529853222,10800.0,10800.0,0.0
2025-06-08,H24,78,72,0.8636,6913.0668,6985.3479,121.50593686358782,0.0,121.50593686358782,0.0,-0.0,0.0,133.5527868635877,10800.0,10800.0,0.0
2025-06-08,H24,79,72,0.8416,6625.1262,6776.2986,173.2084826011549,0.0,173.2084826011549,0.0,0.0,0.0,198.40388260115492,10800.0,10800.0,0.0
2025-06-08,H24,80,72,0.8618,6373.83,6750.45,113.02800001188491,0.0,113.02800001188491,0.0,0.0,0.0,175.79800001188482,10800.0,10800.0,0.0
2025-06-08,H24,81,72,0.8623,6719.8716,6507.5899,172.3489716552458,0.0,172.3489716552458,0.0,0.0,0.0,136.9686883219124,10800.0,10800.0,0.0
2025-06-08,H24,82,72,0.9026,6775.3504,6448.2019,0.0,0.0,0.0,0.0,54.52475000000004,0.0,0.0,10800.0,10739.416944444445,0.0
2025-06-08,H24,83,72,0.9754,6491.72,6510.375,0.0,0.0,0.0,0.0,0.0,0.0,3.1091666666666242,10739.416944444445,10739.416944444445,0.0
2025-06-08,H24,84,72,1.0002,6663.2632,6206.8253,0.0,0.0,0.0,0.0,76.07298333333324,0.0,0.0,10739.416944444445,10654.891407407407,0.0
2025-06-08,H24,85,72,0.9978,6672.6535,6005.498,0.0,0.0,0.0,0.0,111.19258333333335,0.0,0.0,10654.891407407407,10531.344092592593,0.0
2025-06-08,H24,86,72,1.0271,6483.97,6022.875,0.0,0.0,0.0,0.0,76.84916666666663,0.0,0.0,10531.344092592593,10445.95612962963,0.0
2025-06-08,H24,87,72,1.0906,6719.3924,5886.6223,0.0,0.0,0.0,0.0,138.79501666666658,0.0,0.0,10445.95612962963,10291.739444444445,0.0
2025-06-08,H24,88,72,0.9376,6871.1075,5657.3611,0.0,0.0,0.0,0.0,202.29106666666655,0.0,0.0,10291.739444444445,10066.971592592594,0.0
2025-06-08,H24,89,72,0.6694,6772.03,5457.15,1197.2741195985484,101.74944247836856,1095.5246771201798,814.4760082304513,0.0,0.0,163.65144470143036,10066.971592592594,10800.0,0.0
2025-06-08,H24,90,72,0.66,6790.6044,5316.4014,1235.1435349081944,647.9995435932269,587.1439913149675,0.0,0.0,0.0,989.4430349081942,10800.0,10800.0,0.0
2025-06-08,H24,91,72,0.7217,6899.7219,5117.714,1270.3156461767599,181.11502539223844,1089.2006207845213,0.0,0.0,0.0,973.3143295100931,10800.0,10800.0,0.0
2025-06-08,H24,92,72,0.7308,6895.56,4827.8625,515.3845759511726,300.3039371755199,215.0806387756527,0.0,0.0,0.0,170.76832595117253,10800.0,10800.0,0.0
2025-06-08,H24,93,72,0.7534,6654.9167,4517.2927,514.4211912453503,319.81879608845094,194.60239515689938,0.0,0.0,0.0,158.15052457868364,10800.0,10800.0,0.0
2025-06-08,H24,94,72,0.7823,6635.9152,4191.8899,567.2950767888475,391.2169091829787,176.07816760586877,0.0,0.0,0.0,159.95752678884742,10800.0,10800.0,0.0
2025-06-08,H24,95,72,0.8055,6883.08,3906.675,578.0163069750329,383.14177636312263,194.87453061191025,0.0,0.0,0.0,81.948806975033,10800.0,10800.0,0.0
2025-06-08,H24,96,72,0.8271,6992.0626,3740.3514,619.662629089633,454.58727094437575,165.07535814525727,0.0,0.0,0.0,77.71076242296635,10800.0,10800.0,0.0
2025-06-08,H24,97,72,0.8519,6996.1962,3602.2181,677.0664908908027,493.6049229801691,183.46156791063362,0.0,0.0,0.0,111.40347422413606,10800.0,10800.0,0.0
2025-06-08,H24,98,72,0.8791,6915.57,3410.025,719.1843567751512,570.0859963502616,149.09836042488962,0.0,0.0,0.0,134.92685677515146,10800.0,10800.0,0.0
2025-06-08,H24,99,72,0.9024,6730.7114,3145.9729,789.9536073882368,601.8726940036028,188.08091338463407,0.0,-0.0,0.0,192.49719072157018,10800.0,10800.0,0.0
2025-06-08,H24,100,72,0.9163,6758.0982,2844.667,816.9469710886763,673.2426651400147,143.7043059486616,0.0,-0.0,0.0,164.70843775534286,10800.0,10800.0,0.0
2025-06-08,H24,101,72,0.9264,6920.4,2569.95,803.8373993942529,740.998200012991,62.83919938126189,0.0,-0.0,0.0,78.76239939425295,10800.0,10800.0,0.0
2025-06-08,H24,102,72,0.9462,6856.4278,2374.0059,805.1480368089369,721.9907978008275,83.1572390081094,0.0,-0.0,0.0,58.07772014227021,10800.0,10800.0,0.0
2025-06-08,H24,103,72,0.9742,6964.1865,2196.2946,839.6360929139066,734.6813569682323,104.95473594567432,0.0,-0.0,0.0,44.98744291390676,10800.0,10800.0,0.0
2025-06-08,H24,104,72,0.9862,7331.28,1964.4,890.2961382286959,805.2614280202898,85.03471020840607,0.0,-0.0,4.183861771304009,0.0,10800.0,10800.0,20.63062239430007
2025-06-08,H24,105,72,0.976,7464.8973,1653.7063,963.2199558307817,897.9716606451635,65.24829518561819,0.0,0.0,5.311877502551511,0.0,10800.0,10800.0,25.921962212451373
2025-06-08,H24,106,72,1.0742,6629.4289,1360.9024,871.5698127762009,817.1145212670767,54.45529150912421,0.0,-0.0,6.517937223799066,0.0,10800.0,10800.0,35.007840829024786
2025-06-08,H24,107,72,1.2313,5330.8,1123.05,732.1643076058554,666.0073331833958,66.1569744224596,0.0,-0.0,0.0,30.872640939188614,10800.0,10800.0,0.0
2025-06-08,H24,108,108,1.2561,4930.4985,892.605,771.0184973911037,660.069331731175,110.94916565992867,0.0,0.0,0.0,98.03624739110364,10800.0,10800.0,0.0
2025-06-08,H24,109,108,1.2447,5041.0994,644.8591,830.0388922931625,736.012245739106,94.02664655405647,0.0,0.0,0.0,97.33217562649577,10800.0,10800.0,0.0
2025-06-08,H24,110,108,1.2545,5177.55,411.2625,887.2051456663469,767.2593577095632,119.94578795678365,0.0,0.0,0.0,92.82389566634697,10800.0,10800.0,0.0
2025-06-08,H24,111,108,1.2522,5237.9211,246.7122,926.94216105855,819.7499947588494,107.1921662997006,0.0,0.0,0.0,95.07401105855013,10800.0,10800.0,0.0
2025-06-08,H24,112,108,1.2881,5239.8789,105.6895,992.6446720986179,883.101278475149,109.54339362346889,0.0,-0.0,0.0,136.9464387652846,10800.0,10800.0,0.0
2025-06-08,H24,113,108,1.3466,5283.95,0.0,201.3318456526374,70.23245154657707,131.09939410606034,0.0,679.3264876806959,0.0,0.0,10800.0,10045.192791465894,0.0
2025-06-08,H24,114,108,1.3523,5453.7928,0.0,159.6585217137988,63.078193858448685,96.5803278553501,0.0,749.3069449528679,0.0,0.0,10045.192791465894,9212.62951929604,0.0
2025-06-08,H24,115,108,1.3445,5545.1999,3.8308,150.76080956567034,55.74174077626799,95.01906878940235,0.0,772.8007071009962,0.0,0.0,9212.62951929604,8353.9620669616,0.0
2025-06-08,H24,116,108,1.3483,5440.82,0.0,166.29117528789936,52.34762244111016,113.9435528467892,0.0,740.5121580454339,0.0,0.0,8353.9620669616,7531.170780244451,0.0
2025-06-08,H24,117,108,1.349,5232.9137,0.0,125.57399839975437,21.119882030227814,104.45411636952656,0.0,746.578284933579,0.0,0.0,7531.170780244451,6701.639352540474,0.0
2025-06-08,H24,118,108,1.3473,5201.8324,0.275,129.36270315908257,28.852249189300323,100.51045396978225,0.0,737.5635301742508,0.0,0.0,6701.639352540474,5882.124319013528,0.0
2025-06-08,H24,119,108,1.3482,5387.25,0.0,164.24427099809816,76.4120973226286,87.83217367546956,0.0,733.6307290019018,0.0,0.0,5882.124319013528,5066.979064566971,0.0
2025-06-08,H24,120,108,1.3513,5535.2803,0.0,156.38589837518725,66.88675166034363,89.49914671484362,0.0,766.1608182914795,0.0,0.0,5066.979064566971,4215.689266465327,0.0
2025-06-08,H24,121,108,1.34,5379.0428,0.0197,684.8186502467317,619.9762597525948,64.84239049413691,0.0,211.6851997532682,0.0,0.0,4215.689266465327,3980.4834889616955,0.0
2025-06-08,H24,122,108,1.3489,5048.63,0.0,175.20344848609147,126.73503109483181,48.46841739125966,0.0,666.2348848472418,0.0,0.0,3980.4834889616955,3240.2225057980936,0.0
